State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
Vermont,Senate,Primary,2022-08-09,D,Niki Thran,0,2345,0,DrNikiThran,Senate Candidate great state Vermont Running Healthcare Equity Environment DrThranCan,29,30,15,0.8,0.75,0.013706371
Vermont,Senate,Primary,2022-08-09,D,Peter Welch,1,40900,0,PeterWelch,Twitter Account Congressman Peter Welch proudly representing great state Vermont House Representatives,2025,37244,18,0.8,0.875,0.013706085
Washington,Senate,General,2022-11-08,D,Patty Murray,1,980199,1,PattyMurray,Senator Washington state HELPCmteDems Chair Assistant Democratic Leader Working every day WA families,2380,484823,14,0,0,0.032290002
Washington,Senate,General,2022-11-08,R,Tiffany Smiley,0,738618,0,SmileyForWA,HopeUnseen Mom three boys Veterans Advocate Former Triage Nurse Candidate Senate,1767,34306,14,0,0,0.349491997
Washington,Senate,Primary,2022-08-02,R,John Guenther,0,31191,0,Guenther4Senate,John Guenther I running US Senate state Washington,105,17,17,0,0,0.022239165
Washington,Senate,Primary,2022-08-02,D,Patty Murray,1,557978,1,PattyMurray,Senator Washington state HELPCmteDems Chair Assistant Democratic Leader Working every day WA families,2380,484823,14,0,0,0.032290002
Washington,Senate,Primary,2022-08-02,D,Ravin Pierre,0,9997,0,NO_HANDLE,None,0,0,0,,,
Washington,Senate,Primary,2022-08-02,R,Tiffany Smiley,1,330176,0,SmileyForWA,HopeUnseen Mom three boys Veterans Advocate Former Triage Nurse Candidate Senate,1767,34306,14,0,0,0.349491997
Wisconsin,Senate,General,2022-11-08,D,Mandela Barnes,0,1307282,0,TheOtherMandela,Lt Governor Runner struggling plant dad believer opportunity,1604,149901,13,0,0,0.01185808
Wisconsin,Senate,General,2022-11-08,R,Ron Johnson,1,1334680,1,SenRonJohnson,serve Wisconsin Senate,1002,436275,6,0,0,0.02356871
Wisconsin,Senate,Primary,2022-08-09,D,Alex Lasry,0,40820,0,AlexLasryWI,Lauren dad Eleanor Fmr Candidate Senate SVP Milwaukee Bucks Fmr Chair Milwaukee2020 bid Obama White House Alum,215,23344,20,0,0,0.095738726
Wisconsin,Senate,Primary,2022-08-09,R,David Schroeder,0,21616,0,SchroederWBAY,Jesus Christ worship drummer Central Church GB Sports Anchor 10pm Green Bay dschroeder BowTieFriday,1029,3162,17,-0.1,0.275,0.016541028
Wisconsin,Senate,Primary,2022-08-09,D,Mandela Barnes,1,362787,0,TheOtherMandela,Lt Governor Runner struggling plant dad believer opportunity,1604,149901,13,0,0,0.01185808
Wisconsin,Senate,Primary,2022-08-09,R,Ron Johnson,1,118878,1,SenRonJohnson,serve Wisconsin Senate,1002,436275,6,0,0,0.02356871
Wisconsin,Senate,Primary,2022-08-09,D,Sarah Godlewski,0,40835,0,SarahforWI,Hartley mom State Treasurer Proud western Wisconsinite,1031,36848,7,0.4,0.5,0.230474928
Wisconsin,Senate,Primary,2022-08-09,D,Steven Olikara,0,5286,0,StevenOlikara,Reformer Political Commentator Entrepreneur Fmr Candidate Senate CEO MActionProject UWMadison Badger Packers owner,4040,5318,14,0,0.1,0.046063828
Wisconsin,Senate,Primary,2022-08-09,D,Tom Nelson,0,9805,0,NelsonforWI,father Outagamie Exec author Personal account,1176,55690,6,0,0.3,0.009974497
