State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Hawaii,Senate,General,R,Bob McDermott,0,69155,0,repbobmcdermott,"['Marine Veteran, married to the love of my life with 8 children. A Catholic who often falls short of the mark, but keeps trying. Blessed beyond expectations!']",53,215
Hawaii,Senate,Primary,R,Bob McDermott,1,21044,0,repbobmcdermott,"['Marine Veteran, married to the love of my life with 8 children. A Catholic who often falls short of the mark, but keeps trying. Blessed beyond expectations!']",53,215
Illinois,Senate,Primary,R,Bobby Piton,0,63317,0,SUSPENDED,None,0,0
Alabama,Senate,Primary,D,Brandaun Dean,0,32863,0,BrandaunDean,"['“Black America,reparations is commeth.” I am a justice system and police violence affected citizen battling displacement.']",207,2618
Oklahoma,Senate,Primary,D,Brandon Wade,0,19970,0,NO_HANDLE,None,0,0
Idaho,Senate,Primary,R,Brenda Bourn,0,21612,0,NO_HANDLE,None,0,0
Oregon,Senate,Primary,D,Brent Thompson,0,17197,0,NO_HANDLE,None,0,0
South Dakota,Senate,General,D,Brian Bengs,0,44405,0,BrianBengs,"[""Husband, Father, US Navy vet & US Air Force retiree, Attorney, Former Professor, & Angry American Who Wants the Functional Govn't Our Constitution Promises""]",1332,41963
Hawaii,Senate,General,D,Brian E. Schatz,1,227825,1,brianschatz,['United States Senator from Hawaii. Dad. Climate Hawk. Chair of the Senate Committee on Indian Affairs. Chief Deputy Whip.'],3256,397528
Hawaii,Senate,Primary,D,Brian E. Schatz,1,201072,1,brianschatz,['United States Senator from Hawaii. Dad. Climate Hawk. Chair of the Senate Committee on Indian Affairs. Chief Deputy Whip.'],3256,397528
Florida,Senate,Primary,D,Brian Rush,0,88619,0,NO_HANDLE,None,0,0
New Hampshire,Senate,Primary,R,Bruce Fenton,0,6266,0,brucefenton,"['#Bitcoin Cypherpunk Stockbroker Managing Director @WatchdogCapital, SEC registered principal/ FINRA Member. Host @SatoshiRoundtbl, Free Market Econ, Liberty']",1811,100120
